log_id,machine_id,component,failure_mode,timestamp,action_taken
LOG0054,MACH-B,Bearing,Bearing Failure,2023-05-30 17:00:00,Replaced Bearing
LOG0055,MACH-B,Bearing,Bearing Failure,2023-07-02 23:00:00,Replaced Bearing
LOG0056,MACH-B,Belt,General Wear,2023-07-13 12:00:00,General Maintenance
LOG0057,MACH-B,Bearing,Bearing Failure,2023-07-20 08:00:00,Replaced Bearing
LOG0058,MACH-B,Bearing,Bearing Failure,2023-07-22 08:00:00,Replaced Bearing
LOG0059,MACH-B,Bearing,Bearing Failure,2023-07-23 19:00:00,Replaced Bearing
LOG0060,MACH-B,Bearing,Bearing Failure,2023-07-30 22:00:00,Replaced Bearing
LOG0061,MACH-B,Bearing,Bearing Failure,2023-08-13 17:00:00,Replaced Bearing
LOG0062,MACH-B,Bearing,Bearing Failure,2023-08-16 16:00:00,Replaced Bearing
LOG0063,MACH-B,Bearing,Bearing Failure,2023-08-24 19:00:00,Replaced Bearing
LOG0064,MACH-B,Bearing,Bearing Failure,2023-08-28 23:00:00,Replaced Bearing
LOG0065,MACH-B,Bearing,Bearing Failure,2023-09-25 05:00:00,Replaced Bearing
LOG0066,MACH-B,Bearing,Bearing Failure,2023-09-27 19:00:00,Replaced Bearing
LOG0067,MACH-B,Bearing,Bearing Failure,2023-09-28 19:00:00,Replaced Bearing
LOG0068,MACH-B,Belt,General Wear,2023-09-29 17:00:00,General Maintenance
LOG0069,MACH-B,Belt,General Wear,2023-10-01 21:00:00,General Maintenance
LOG0070,MACH-B,Bearing,Bearing Failure,2023-10-06 20:00:00,Replaced Bearing
LOG0071,MACH-B,Bearing,Bearing Failure,2023-10-08 10:00:00,Replaced Bearing
LOG0072,MACH-B,Bearing,Bearing Failure,2023-10-17 19:00:00,Replaced Bearing
LOG0073,MACH-B,Bearing,Bearing Failure,2023-10-17 20:00:00,Replaced Bearing
LOG0074,MACH-B,Bearing,Bearing Failure,2023-10-28 20:00:00,Replaced Bearing
LOG0075,MACH-B,Belt,General Wear,2023-10-31 16:00:00,General Maintenance
LOG0076,MACH-B,Bearing,Bearing Failure,2023-11-11 13:00:00,Replaced Bearing
LOG0077,MACH-B,Bearing,Bearing Failure,2023-11-14 17:00:00,Replaced Bearing
LOG0078,MACH-B,Bearing,Bearing Failure,2023-11-22 19:00:00,Replaced Bearing
LOG0079,MACH-B,Bearing,Bearing Failure,2023-11-26 08:00:00,Replaced Bearing
LOG0080,MACH-B,Bearing,Bearing Failure,2023-11-29 23:00:00,Replaced Bearing
LOG0081,MACH-B,Bearing,Bearing Failure,2023-12-03 02:00:00,Replaced Bearing
LOG0082,MACH-B,Bearing,Bearing Failure,2023-12-05 14:00:00,Replaced Bearing
LOG0083,MACH-B,Bearing,General Wear,2023-12-11 04:00:00,General Maintenance
LOG0084,MACH-B,Bearing,Bearing Failure,2023-12-21 16:00:00,Replaced Bearing
LOG0085,MACH-B,Bearing,Bearing Failure,2023-12-24 07:00:00,Replaced Bearing
LOG0086,MACH-B,Bearing,Bearing Failure,2023-12-24 14:00:00,Replaced Bearing
LOG0087,MACH-B,Bearing,Bearing Failure,2023-12-27 19:00:00,Replaced Bearing
LOG0088,MACH-B,Bearing,Bearing Failure,2023-12-31 19:00:00,Replaced Bearing
LOG0089,MACH-C,Bearing,General Wear,2023-01-06 19:00:00,General Maintenance
LOG0090,MACH-C,Bearing,Bearing Failure,2023-01-12 21:00:00,Replaced Bearing
LOG0091,MACH-C,Bearing,General Wear,2023-01-17 09:00:00,General Maintenance
LOG0092,MACH-C,Bearing,Bearing Failure,2023-01-22 00:00:00,Replaced Bearing
LOG0093,MACH-C,Bearing,Bearing Failure,2023-01-22 22:00:00,Replaced Bearing
LOG0094,MACH-C,Bearing,Bearing Failure,2023-02-15 03:00:00,Replaced Bearing
LOG0095,MACH-C,Bearing,Bearing Failure,2023-02-24 07:00:00,Replaced Bearing
LOG0096,MACH-C,Bearing,Bearing Failure,2023-03-11 07:00:00,Replaced Bearing
LOG0097,MACH-C,Bearing,Bearing Failure,2023-03-15 10:00:00,Replaced Bearing
LOG0098,MACH-C,Bearing,Bearing Failure,2023-03-23 01:00:00,Replaced Bearing
LOG0099,MACH-C,Bearing,General Wear,2023-04-01 09:00:00,General Maintenance
LOG0100,MACH-C,Bearing,Bearing Failure,2023-04-05 07:00:00,Replaced Bearing
LOG0101,MACH-C,Bearing,Bearing Failure,2023-04-07 07:00:00,Replaced Bearing
LOG0102,MACH-C,Bearing,Bearing Failure,2023-04-12 01:00:00,Replaced Bearing
LOG0103,MACH-C,Bearing,Bearing Failure,2023-04-14 20:00:00,Replaced Bearing
LOG0104,MACH-C,Bearing,Bearing Failure,2023-04-28 09:00:00,Replaced Bearing
LOG0105,MACH-C,Bearing,Bearing Failure,2023-05-05 02:00:00,Replaced Bearing
LOG0106,MACH-C,Bearing,Bearing Failure,2023-05-08 13:00:00,Replaced Bearing
LOG0107,MACH-C,Bearing,Bearing Failure,2023-05-22 22:00:00,Replaced Bearing
LOG0108,MACH-C,Bearing,General Wear,2023-05-29 12:00:00,General Maintenance
LOG0109,MACH-C,Bearing,Bearing Failure,2023-06-02 14:00:00,Replaced Bearing
LOG0110,MACH-C,Bearing,General Wear,2023-06-17 16:00:00,General Maintenance
LOG0111,MACH-C,Bearing,Bearing Failure,2023-06-17 20:00:00,Replaced Bearing
LOG0112,MACH-C,Bearing,Bearing Failure,2023-06-19 20:00:00,Replaced Bearing
LOG0113,MACH-C,Bearing,Bearing Failure,2023-06-26 13:00:00,Replaced Bearing
LOG0114,MACH-C,Bearing,Bearing Failure,2023-06-29 13:00:00,Replaced Bearing
LOG0115,MACH-C,Bearing,Bearing Failure,2023-07-08 23:00:00,Replaced Bearing
LOG0116,MACH-C,Bearing,Bearing Failure,2023-07-09 06:00:00,Replaced Bearing
LOG0117,MACH-C,Bearing,Bearing Failure,2023-07-13 08:00:00,Replaced Bearing
LOG0118,MACH-C,Bearing,Bearing Failure,2023-07-16 21:00:00,Replaced Bearing
LOG0119,MACH-C,Bearing,Bearing Failure,2023-07-16 23:00:00,Replaced Bearing
LOG0120,MACH-C,Bearing,Bearing Failure,2023-07-20 04:00:00,Replaced Bearing
LOG0121,MACH-C,Belt,General Wear,2023-08-02 07:00:00,General Maintenance
LOG0122,MACH-C,Bearing,Bearing Failure,2023-08-06 12:00:00,Replaced Bearing
LOG0123,MACH-C,Belt,General Wear,2023-08-20 03:00:00,General Maintenance
LOG0124,MACH-C,Bearing,Bearing Failure,2023-08-22 09:00:00,Replaced Bearing
LOG0125,MACH-C,Bearing,Bearing Failure,2023-08-28 13:00:00,Replaced Bearing
LOG0126,MACH-C,Bearing,Bearing Failure,2023-09-01 21:00:00,Replaced Bearing
LOG0127,MACH-C,Motor,General Wear,2023-09-03 16:00:00,General Maintenance
LOG0128,MACH-C,Bearing,Bearing Failure,2023-09-07 10:00:00,Replaced Bearing
LOG0129,MACH-C,Bearing,Bearing Failure,2023-09-13 02:00:00,Replaced Bearing
LOG0130,MACH-C,Bearing,Bearing Failure,2023-09-14 11:00:00,Replaced Bearing
LOG0131,MACH-C,Bearing,Bearing Failure,2023-09-21 21:00:00,Replaced Bearing
LOG0132,MACH-C,Bearing,Bearing Failure,2023-10-21 06:00:00,Replaced Bearing
LOG0133,MACH-C,Motor,General Wear,2023-10-24 09:00:00,General Maintenance
LOG0134,MACH-C,Bearing,Bearing Failure,2023-10-24 10:00:00,Replaced Bearing
LOG0135,MACH-C,Bearing,Bearing Failure,2023-11-01 01:00:00,Replaced Bearing
LOG0136,MACH-C,Bearing,Bearing Failure,2023-11-04 15:00:00,Replaced Bearing
LOG0137,MACH-C,Bearing,Bearing Failure,2023-11-06 02:00:00,Replaced Bearing
LOG0138,MACH-C,Bearing,Bearing Failure,2023-11-16 07:00:00,Replaced Bearing
LOG0139,MACH-C,Bearing,Bearing Failure,2023-11-27 14:00:00,Replaced Bearing
LOG0140,MACH-C,Bearing,Bearing Failure,2023-12-06 07:00:00,Replaced Bearing
LOG0141,MACH-C,Bearing,Bearing Failure,2023-12-22 08:00:00,Replaced Bearing
